"","ID","SENNA","Seurat","SPARK_X","Giotto_kmeans","Giotto_rank","SI"
"81","DR_prm",0,0.162,0,0.027,0.029,0.906896551724138
"82","DR_sim",1,1,1,1,1,0.937931034482759
"83","FPR_sim",0.022,0.162,0.002,0.121,0.106,0.937931034482759
"84","DR_prm",0,0.173,0,0.014,0.024,0.937931034482759
"85","DR_sim",1,1,1,1,1,0.968965517241379
"86","FPR_sim",0.018,0.163,0.002,0.107,0.103,0.968965517241379
"87","DR_prm",0,0.161,0,0.016,0.016,0.968965517241379
"88","DR_sim",1,1,1,1,1,1
"89","FPR_sim",0.022,0.182,0.002,0.132,0.11,1
"90","DR_prm",0,0.159,0,0.024,0.027,1
