"","ID","SENNA","Seurat","SPARK_X","Giotto_kmeans","Giotto_rank","SI"
"81","DR_prm",0,0.17,0,0.017,0.019,0.906896551724138
"82","DR_sim",1,1,1,0.995,0.977,0.937931034482759
"83","FPR_sim",0.026,0.168,0.002,0.116,0.127,0.937931034482759
"84","DR_prm",0,0.175,0,0.005,0.034,0.937931034482759
"85","DR_sim",1,1,1,0.996,0.976,0.968965517241379
"86","FPR_sim",0.023,0.167,0.004,0.124,0.104,0.968965517241379
"87","DR_prm",0,0.169,0,0.011,0.017,0.968965517241379
"88","DR_sim",1,1,1,0.993,0.983,1
"89","FPR_sim",0.028,0.164,0.001,0.103,0.122,1
"90","DR_prm",0,0.163,0,0.026,0.028,1
