"","ID","SENNA","Seurat","SPARK_X","Giotto_kmeans","Giotto_rank","SI"
"80","FPR_sim",0.026,0.161,0,0.101,0.09,0.906896551724138
"81","DR_prm",0,0.173,0,0.022,0.016,0.906896551724138
"82","DR_sim",1,1,0.262,0.682,0.626,0.937931034482759
"83","FPR_sim",0.023,0.165,0.001,0.098,0.098,0.937931034482759
"84","DR_prm",0,0.17,0,0.014,0.025,0.937931034482759
"85","DR_sim",1,1,0.337,0.734,0.636,0.968965517241379
"86","FPR_sim",0.023,0.161,0.001,0.101,0.096,0.968965517241379
"87","DR_prm",0.001,0.187,0,0.023,0.018,0.968965517241379
"88","DR_sim",1,1,0.441,0.735,0.637,1
"89","FPR_sim",0.039,0.177,0.005,0.094,0.084,1
"90","DR_prm",0,0.163,0,0.015,0.012,1
