"X1","X2","CLS"
0.0393141301110497,0.398119389014168,"#777777"
0.121388758881845,0.410075309534953,"#777777"
0.129004807896864,0.422924733012807,"#777777"
0.158788239799175,0.422541803174063,"#777777"
0.195847338637621,0.409139258818023,"#777777"
0.225971152618815,0.434667914734289,"#777777"
0.271284516870187,0.485937965366123,"#777777"
0.354295196357912,0.575628643151938,"#777777"
0.495936688933328,0.586861251755095,"#777777"
0.621410032761775,0.494575160617793,"#777777"
0.674041611709144,0.532783048972472,"#777777"
0.742160575245713,0.622686465557588,"#777777"
0.816959537080373,0.647662000595669,"#777777"
0.876526400884993,0.646938688678041,"#777777"
0.920563332340552,0.594519848529975,"#777777"
0.950346764242863,0.594179466451091,"#777777"
