"X1","X2","CLS"
0.678849508573374,0.921499383057482,"#777777"
0.649066076671063,0.921882312896226,"#777777"
0.634514742798792,0.947964089690678,"#777777"
0.604688763136621,0.948347019529422,"#777777"
0.581883163851423,0.909756201336,"#777777"
0.5815853295324,0.88384461558099,"#777777"
0.61136876143471,0.883461685742246,"#777777"
0.633195762243118,0.844317746670638,"#777777"
0.625622260987959,0.831468323192784,"#777777"
0.603412330340808,0.844700676509382,"#777777"
0.581244947453517,0.85793302982598,"#777777"
0.536569799600051,0.858486150704165,"#777777"
0.529294132663915,0.871548312981322,"#777777"
0.551759349870229,0.884227545419734,"#fa9b99"
0.544824065012977,0.923158745692039,"#777777"
0.50772241841467,0.936603837807939,"#777777"
0.484916819129473,0.898013019614517,"#777777"
0.455133387227163,0.898353401693401,"#777777"
0.432327787941965,0.859762583499979,"#777777"
0.469046504701527,0.820448453388929,"#777777"
0.460792239288601,0.755733310641195,"#777777"
0.505169552823044,0.729268604007999,"#777777"
0.512147385440157,0.690337403735693,"#777777"
0.541590435263583,0.664042888141939,"#777777"
0.586265583117049,0.663489767263754,"#777777"
0.593583797813045,0.650427604986597,"#777777"
0.570735650767987,0.611836786793175,"#777777"
0.60749691528741,0.572522656682126,"#777777"
0.652172063140876,0.57196953580394,"#777777"
0.68229587712207,0.597498191720206,"#777777"
0.675318044504957,0.636471939752372,"#777777"
0.697825809471131,0.649151172190784,"#777777"
0.720631408756329,0.687741990384206,"#777777"
0.735523124707484,0.687529251584904,"#777777"
0.765008722290771,0.66127728375101,"#777777"
0.764668340211888,0.635365697996001,"#777777"
0.719014593881632,0.558141513849296,"#777777"
0.681657660724163,0.545675020210186,"#777777"
0.688592945581415,0.50670127217802,"#777777"
0.688295111262392,0.48078968642301,"#777777"
0.740245926051993,0.467174403267668,"#777777"
0.762753691018168,0.47985363570608,"#777777"
0.822320554822789,0.479130323788453,"#777777"
0.83687188869506,0.45300599923414,"#777777"
0.829298387439901,0.440156575756286,"#777777"
0.843849721312173,0.414074798961835,"#777777"
0.887588818448709,0.335786920818619,"#777777"
0.931923584223291,0.309279666425563,"#777777"
0.946815300174446,0.309109475386121,"#fa9b99"
0.947793898651236,0.386844232651151,"#fa9b99"
0.933200017019104,0.412968557205463,"#777777"
0.948772497128026,0.464578989916181,"#fa9b99"
0.950048929923839,0.568267880696081,"#fa9b99"
0.920563332340552,0.594519848529975,"#777777"
0.906011998468281,0.620644173084287,"#777777"
0.876526400884993,0.646938688678041,"#777777"
0.839126919967664,0.634429647279071,"#777777"
0.809683870144237,0.660724162872825,"#777777"
0.824873420414415,0.686423009828533,"#777777"
0.847083351061567,0.673190656511935,"#777777"
0.869591116027741,0.685869888950347,"#777777"
0.899672382249075,0.711441092626473,"#777777"
0.892694549631962,0.750372292898779,"#777777"
0.922818363613156,0.775943496574905,"#777777"
0.908564864059907,0.827936859124367,"#777777"
0.856273667191422,0.815640556524699,"#777777"
0.841084116921244,0.789899161809131,"#777777"
0.81857635195507,0.777219929370719,"#777777"
0.811598519337957,0.816193677402885,"#777777"
0.842020167638174,0.867633919074161,"#777777"
0.820193166829766,0.906820405905629,"#777777"
0.775518018976301,0.907373526783815,"#777777"
0.746032421393014,0.933625494617708,"#777777"
0.723524656426839,0.920946262179296,"#777777"
0.693741224524529,0.92132919201804,"#777777"
